pais,GHSL_2000_km2,GHSL_2020_km2,GHSL_cagr_pct,GLAD_2000_km2,GLAD_2020_km2,GLAD_cagr_pct
Antigua y Barbuda,9.935,13.442,1.523,124.7,137.62,0.494
Argentina,3201.901,3926.447,1.025,29962.77,42979.68,1.82
Bahamas,24.892,33.402,1.481,495.15,576.75,0.766
Barbados,23.494,37.085,2.309,195.35,203.69,0.209
Belice,23.832,44.925,3.221,390.06,576.4,1.972
Bolivia,553.014,709.805,1.256,6259.06,10768.63,2.75
Brasil,12181.809,15608.973,1.247,112359.03,156669.88,1.676
Chile,957.734,1282.307,1.47,8478.21,12291.25,1.874
Colombia,1260.163,1542.987,1.018,11659.79,17498.27,2.051
Costa Rica,257.888,360.512,1.689,2031.25,2835.61,1.682
Cuba,318.466,378.138,0.862,3664.2,4127.89,0.598
Dominica,2.399,3.8,2.326,36.71,49.6,1.515
Ecuador,712.171,910.357,1.235,5104.52,8477.0,2.569
El Salvador,225.3,335.542,2.012,1614.54,2376.84,1.952
Granada,6.049,7.614,1.157,66.24,75.2,0.637
Guatemala,603.003,928.112,2.18,4443.82,7104.31,2.374
Guyana,44.927,56.982,1.196,1142.31,1736.52,2.116
Honduras,305.255,558.436,3.066,3555.45,5505.03,2.21
Jamaica,146.344,212.707,1.887,1319.84,1550.88,0.81
México,6384.142,9701.426,2.114,48315.79,73540.77,2.123
Nicaragua,193.093,292.9,2.105,1546.18,2543.48,2.52
Panamá,192.159,286.214,2.012,716.58,1858.34,4.88
Paraguay,465.651,560.327,0.93,4310.72,6928.88,2.401
Perú,1228.531,1450.775,0.835,15187.67,23965.88,2.307
República Dominicana,276.46,496.151,2.967,2970.15,4045.8,1.557
San Cristóbal y Nieves,3.635,4.874,1.477,31.91,38.23,0.907
Surinam,54.925,69.128,1.157,389.39,702.93,2.997
Trinidad y Tobago,120.675,150.738,1.118,686.62,786.64,0.682
Uruguay,316.312,379.8,0.919,2655.98,3223.8,0.973
Venezuela,1119.595,1441.831,1.273,11321.24,14126.36,1.113
