epoca,degurba,construido_km2,m2_por_hab,poblacion,territorio_km2
1975,RUR,51.55729,39.390605378552685,1308872.750355642,20003.0
1975,UC,40.341211,29.570075185712245,1364257.97860305,203.0
1975,UCL,30.8902,22.053748230521663,1400678.001630987,639.0
1980,RUR,56.29179800000001,41.5673787982341,1354230.15902055,19828.0
1980,UC,44.049274,27.699391053614818,1590261.45790492,238.0
1980,UCL,36.427295,23.331031396481354,1561323.81723569,779.0
1985,RUR,63.157212,46.53476102243676,1357205.035812878,19669.0
1985,UC,50.326888,27.649937654971616,1820144.718877908,274.0
1985,UCL,42.641317,25.14194771904489,1696022.817186094,902.0
1990,RUR,66.550226,51.32370259135868,1296676.245863933,19403.0
1990,UC,59.32659100000001,27.3586316779179,2168478.003521081,336.0
1990,UCL,53.777789,28.329733006956285,1898280.826959965,1106.0
1995,RUR,70.660558,53.987821776778894,1308824.021316458,19255.0
1995,UC,70.459384,28.592581946071316,2464253.984928468,381.0
1995,UCL,59.250039,30.051261759820736,1971632.321915306,1209.0
2000,RUR,80.34950900000001,59.45581233987855,1351415.544382488,19225.0
2000,UC,81.038466,31.12237280640461,2603865.280584367,408.0
2000,UCL,66.45817500000001,33.22893014009393,2000009.471259256,1212.0
2005,RUR,88.836002,64.53464854378143,1376562.885280643,19160.0
2005,UC,84.636708,32.1846878366371,2629719.711112273,426.0
2005,UCL,72.631762,35.80718534322255,2028413.049051549,1259.0
2010,RUR,99.711389,70.92705283463106,1405830.145409829,19040.0
2010,UC,88.975036,33.64424036366282,2644584.482760287,442.0
2010,UCL,81.958754,39.77506964593457,2060555.889142913,1363.0
2015,RUR,114.026052,78.79234755244957,1447171.654888141,18872.0
2015,UC,94.894562,34.670420866601795,2737046.728250491,465.0
2015,UCL,92.239107,45.12812684502539,2043938.302973632,1508.0
2020,RUR,135.018314,90.4752977060112,1492322.4064841,18700.0
2020,UC,99.19802,36.20831126681433,2739647.791608471,481.0
2020,UCL,104.533572,50.78119450675121,2058509.513518879,1664.0
